MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS
conv1,20.82735,ms,75.06206599999986,ms,45.90041589164734,ms,174.41683203029632,ms,0.0,kb,0.0,kb,870187.0,kb,3482513.0,kb,354
norm2,16.162379,ms,48.38605499999999,ms,19.727168130874634,ms,54.80326448631287,ms,0.0,kb,0.0,kb,868048.0,kb,4340240.0,kb,354
relu2,7.933815999999995,ms,11.137523999999997,ms,8.668031985282898,ms,14.0046080160141,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv2,21.53605000000005,ms,77.96495299999992,ms,56.95737582302093,ms,218.761408162117,ms,0.0,kb,0.0,kb,207760.0,kb,972817.0,kb,354
norm1,15.962019000000021,ms,47.79992600000002,ms,24.233792043685913,ms,68.27107203483581,ms,0.0,kb,0.0,kb,1328987.0,kb,6644935.0,kb,354
relu1,7.933789000000013,ms,11.146625000000013,ms,11.833824015140534,ms,20.366336089611053,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv1,20.960728999999986,ms,75.72534699999987,ms,50.30627214622498,ms,192.19404950523378,ms,0.0,kb,0.0,kb,871216.0,kb,3486629.0,kb,354
norm2,16.07051999999998,ms,48.02594500000002,ms,19.694464257240295,ms,54.68822465991974,ms,0.0,kb,0.0,kb,903146.0,kb,4515730.0,kb,354
relu2,7.878408999999997,ms,11.061856999999993,ms,8.613119953155518,ms,13.938943966865539,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv2,21.323484999999987,ms,77.13806299999997,ms,56.7895037317276,ms,218.07040018939972,ms,0.0,kb,0.0,kb,207760.0,kb,972817.0,kb,354
norm1,16.059034999999987,ms,47.73338499999992,ms,25.953951930999757,ms,73.49043200302124,ms,0.0,kb,0.0,kb,1511067.0,kb,7555335.0,kb,354
relu1,7.9090140000000035,ms,11.130547000000004,ms,13.738751980781554,ms,24.210111879348755,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv1,20.961798000000005,ms,75.50912700000009,ms,54.704703847885135,ms,209.68495850372315,ms,0.0,kb,0.0,kb,901228.0,kb,3606677.0,kb,354
norm2,16.075366999999993,ms,48.03738399999992,ms,19.864544120788572,ms,55.144224409103394,ms,0.0,kb,0.0,kb,900075.0,kb,4500375.0,kb,354
relu2,7.8555269999999995,ms,11.018545999999986,ms,8.591775990009308,ms,13.911488024234771,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv2,21.515128000000022,ms,77.89341799999997,ms,56.94019209766388,ms,218.67171224308015,ms,0.0,kb,0.0,kb,207760.0,kb,972817.0,kb,354
norm1,15.834786000000014,ms,47.252396999999874,ms,27.32176003456116,ms,77.72092831802368,ms,0.0,kb,0.0,kb,1673758.0,kb,8368790.0,kb,354
relu1,7.910285,ms,11.072718,ms,15.11612799501419,ms,26.923776084423064,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv1,20.983327000000003,ms,75.76047000000007,ms,59.2645440158844,ms,228.03289616775513,ms,0.0,kb,0.0,kb,906169.0,kb,3626441.0,kb,354
norm2,16.093162999999986,ms,48.04676300000001,ms,20.112256206512452,ms,55.8851847114563,ms,0.0,kb,0.0,kb,925366.0,kb,4626830.0,kb,354
