MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS
conv1,21.27708999999999,ms,76.75028900000014,ms,59.4623035326004,ms,228.77747262573243,ms,0.0,kb,0.0,kb,876509.0,kb,3507801.0,kb,354
norm2,16.453658999999995,ms,49.10321400000001,ms,20.18422422027588,ms,56.14953632545471,ms,0.0,kb,0.0,kb,880318.0,kb,4401590.0,kb,354
relu2,8.228802000000004,ms,11.478018000000013,ms,8.854432012081146,ms,14.213248073101044,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv2,21.973338999999974,ms,79.53993000000001,ms,57.23487967395783,ms,219.81471991443635,ms,0.0,kb,0.0,kb,207760.0,kb,972817.0,kb,354
norm1,16.356045000000016,ms,49.34942200000001,ms,29.164480070114134,ms,83.13961648559571,ms,0.0,kb,0.0,kb,1971072.0,kb,9855360.0,kb,354
relu1,8.031503999999998,ms,11.260362000000002,ms,16.3140480260849,ms,29.296735957145692,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv1,21.246933999999932,ms,76.65632300000011,ms,64.16800003910065,ms,247.63088056850432,ms,0.0,kb,0.0,kb,892831.0,kb,3573089.0,kb,354
norm2,16.445557,ms,49.02921700000007,ms,20.385056142807006,ms,56.74665648269654,ms,0.0,kb,0.0,kb,910678.0,kb,4553390.0,kb,354
relu2,8.064595999999995,ms,11.294975999999998,ms,8.70255994939804,ms,14.089920011997222,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv2,21.858468999999968,ms,79.04705299999988,ms,57.14348783016205,ms,219.51030406856538,ms,0.0,kb,0.0,kb,207760.0,kb,972817.0,kb,354
norm1,16.47372999999995,ms,49.56994000000008,ms,30.92905561351776,ms,88.46025558757782,ms,0.0,kb,0.0,kb,2234852.0,kb,11174260.0,kb,354
relu1,8.027093999999998,ms,11.239564999999997,ms,17.424160000801088,ms,31.514080061912537,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv1,21.319852000000026,ms,76.93414200000008,ms,68.5519993724823,ms,265.10041475868223,ms,0.0,kb,0.0,kb,927403.0,kb,3711377.0,kb,354
norm2,16.446419999999996,ms,49.05241200000006,ms,20.54982413864136,ms,57.225664527893066,ms,0.0,kb,0.0,kb,933436.0,kb,4667180.0,kb,354
relu2,8.062517999999992,ms,11.309298000000002,ms,8.680447963714599,ms,14.052672028541565,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv2,21.785647000000033,ms,78.72492400000003,ms,57.07212773227692,ms,219.2548798274994,ms,0.0,kb,0.0,kb,207760.0,kb,972817.0,kb,354
norm1,16.404160999999977,ms,49.42919800000016,ms,32.56361581611633,ms,93.43535967445374,ms,0.0,kb,0.0,kb,2397615.0,kb,11988075.0,kb,354
relu1,8.036622000000007,ms,11.282907999999988,ms,18.521248193264007,ms,33.74323215246201,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv1,21.289056000000006,ms,76.8227060000001,ms,72.94358354949951,ms,282.66233622932435,ms,0.0,kb,0.0,kb,945044.0,kb,3781941.0,kb,354
norm2,16.44111900000001,ms,49.004576000000036,ms,20.632288291931154,ms,57.51648079109192,ms,0.0,kb,0.0,kb,947857.0,kb,4739285.0,kb,354
relu2,8.058151000000006,ms,11.288497999999992,ms,8.696479974746705,ms,14.073056025505066,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv2,21.93352400000003,ms,79.47016900000006,ms,57.19919972229004,ms,219.6914884519577,ms,0.0,kb,0.0,kb,207760.0,kb,972817.0,kb,354
norm1,16.41426999999998,ms,49.333803000000046,ms,34.27273611259461,ms,98.33228840637207,ms,0.0,kb,0.0,kb,2608091.0,kb,13040455.0,kb,354
relu1,8.043796999999993,ms,11.293127000000007,ms,19.610368011951447,ms,35.94566416692734,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv1,21.291443000000026,ms,76.8927230000001,ms,77.29619193553924,ms,300.1536642122269,ms,0.0,kb,0.0,kb,949057.0,kb,3797993.0,kb,354
norm2,16.49945500000001,ms,49.14399799999997,ms,20.751392196655274,ms,57.8044165802002,ms,0.0,kb,0.0,kb,961058.0,kb,4805290.0,kb,354
relu2,8.203556,ms,11.451161999999998,ms,8.850272032737731,ms,14.242368078231811,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv2,21.887128999999952,ms,79.1091000000001,ms,57.17126358318329,ms,219.54220778369904,ms,0.0,kb,0.0,kb,207760.0,kb,972817.0,kb,354
norm1,16.425687000000007,ms,49.33795699999996,ms,35.84348802947998,ms,103.12656024742127,ms,0.0,kb,0.0,kb,2793428.0,kb,13967140.0,kb,354
relu1,8.090124999999999,ms,11.328221000000012,ms,20.69984037733078,ms,38.10428832960129,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv1,21.293292000000008,ms,76.82839500000001,ms,81.97439972114563,ms,318.8366742544174,ms,0.0,kb,0.0,kb,963926.0,kb,3857469.0,kb,354
